date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:25	1020/1020	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Sep%202020%2011:23:52%20GMT	https://akademi.dexignlab.com/xhtml/vendor/datatables/images/sort_desc_disabled.png	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/datatables/images/sort_desc_disabled.png	(from https://akademi.dexignlab.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css)
18:19:26	13337/13337	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202019%2001:44:38%20GMT	https://akademi.dexignlab.com/xhtml/icons/simple-line-icons/css/simple-line-icons.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/icons/simple-line-icons/css/simple-line-icons.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:26	89220/89220	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Feb%202022%2016:00:28%20GMT	https://akademi.dexignlab.com/xhtml/icons/fontawesome/css/all.min.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/icons/fontawesome/css/all.min.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:27	141712/141712	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Jan%202022%2018:20:32%20GMT	https://akademi.dexignlab.com/xhtml/icons/material-design-iconic-font/css/materialdesignicons.min.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/icons/material-design-iconic-font/css/materialdesignicons.min.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:27	17527/17527	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202019%2001:44:38%20GMT	https://akademi.dexignlab.com/xhtml/icons/themify-icons/css/themify-icons.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/icons/themify-icons/css/themify-icons.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:28	89729/89729	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Nov%202019%2011:27:56%20GMT	https://akademi.dexignlab.com/xhtml/icons/line-awesome/css/line-awesome.min.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/icons/line-awesome/css/line-awesome.min.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:28	8721/8721	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Jul%202019%2008:58:14%20GMT	https://akademi.dexignlab.com/xhtml/icons/avasta/css/style.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/icons/avasta/css/style.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:28	20439/20439	---M--	200	added ('OK')	text/css	date:Sat,%2005%20Sep%202020%2002:43:20%20GMT	https://akademi.dexignlab.com/xhtml/icons/flaticon/flaticon.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/icons/flaticon/flaticon.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:28	13636/13636	---M--	200	added ('OK')	text/css	date:Sat,%2022%20Jan%202022%2015:48:56%20GMT	https://akademi.dexignlab.com/xhtml/icons/flaticon-1/font/flaticon-1.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/icons/flaticon-1/font/flaticon-1.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:29	106765/106765	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202020%2013:35:46%20GMT	https://akademi.dexignlab.com/xhtml/icons/icomoon/icomoon.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/icons/icomoon/icomoon.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:29	63666/63666	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Oct%201985%2004:15:00%20GMT	https://akademi.dexignlab.com/xhtml/icons/bootstrap-icons/font/bootstrap-icons.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/icons/bootstrap-icons/font/bootstrap-icons.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:29	28765/28765	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202019%2001:44:38%20GMT	https://akademi.dexignlab.com/xhtml/vendor/aos/css/aos.min.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/aos/css/aos.min.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:29	57997/57997	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202019%2001:44:38%20GMT	https://akademi.dexignlab.com/xhtml/vendor/animate/animate.min.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/animate/animate.min.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:29	2714/2714	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202019%2001:44:40%20GMT	https://akademi.dexignlab.com/xhtml/vendor/perfect-scrollbar/css/perfect-scrollbar.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/perfect-scrollbar/css/perfect-scrollbar.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:30	2146/2146	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Jan%202022%2018:19:34%20GMT	https://akademi.dexignlab.com/xhtml/vendor/metismenu/css/metisMenu.min.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/metismenu/css/metisMenu.min.css	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:30	8672/8672	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Mar%202021%2015:00:58%20GMT	https://akademi.dexignlab.com/xhtml/images/pattern/pattern5.png	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/pattern/pattern5.png	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:30	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Feb%202024%2012:42:51%20GMT	https://akademi.dexignlab.com/xhtml/images/body/12.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/body/12.jpg	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:30	13480/13480	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20May%202023%2006:57:08%20GMT	https://akademi.dexignlab.com/xhtml/images/student-bg-Recovered.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/student-bg-Recovered.jpg	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:31	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Feb%202024%2012:42:52%20GMT	https://akademi.dexignlab.com/xhtml/images/profile/cover.jpg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/profile/cover.jpg	(from https://akademi.dexignlab.com/xhtml/css/style.css)
18:19:31	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Feb%202024%2012:42:52%20GMT	https://akademi.dexignlab.com/xhtml/images/svg/check.svg	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/svg/check.svg	(from https://akademi.dexignlab.com/xhtml/css/style.css)
